survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size,is_child,fare_per_person
0,3,male,22.0,1,0,7.25,S,Third,man,True,C,Southampton,no,False,2,0,3.625
1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,2,0,35.64165
1,3,female,26.0,0,0,7.925,S,Third,woman,False,C,Southampton,yes,True,1,0,7.925
1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,2,0,26.55
0,3,male,35.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,0,8.05
0,3,male,28.0,0,0,8.4583,Q,Third,man,True,C,Queenstown,no,True,1,0,8.4583
0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,1,0,51.8625
0,3,male,2.0,3,1,21.075,S,Third,child,False,C,Southampton,no,False,5,1,4.215
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,C,Southampton,yes,False,3,0,3.7111
1,2,female,14.0,1,0,30.0708,C,Second,child,False,C,Cherbourg,yes,False,2,1,15.0354
1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,3,1,5.566666666666666
1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,1,0,26.55
0,3,male,20.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,0,8.05
0,3,male,39.0,1,5,31.275,S,Third,man,True,C,Southampton,no,False,7,0,4.4678571428571425
0,3,female,14.0,0,0,7.8542,S,Third,child,False,C,Southampton,no,True,1,1,7.8542
1,2,female,55.0,0,0,16.0,S,Second,woman,False,C,Southampton,yes,True,1,0,16.0
0,3,male,2.0,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False,6,1,4.854166666666667
1,2,male,28.0,0,0,13.0,S,Second,man,True,C,Southampton,yes,True,1,0,13.0
0,3,female,31.0,1,0,18.0,S,Third,woman,False,C,Southampton,no,False,2,0,9.0
1,3,female,28.0,0,0,7.225,C,Third,woman,False,C,Cherbourg,yes,True,1,0,7.225
0,2,male,35.0,0,0,26.0,S,Second,man,True,C,Southampton,no,True,1,0,26.0
1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,1,0,13.0
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,C,Queenstown,yes,True,1,1,8.0292
1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,1,0,35.5
0,3,female,8.0,3,1,21.075,S,Third,child,False,C,Southampton,no,False,5,1,4.215
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,C,Southampton,yes,False,7,0,4.483928571428572
0,3,male,28.0,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True,1,0,7.225
0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,6,0,43.833333333333336
1,3,female,28.0,0,0,7.8792,Q,Third,woman,False,C,Queenstown,yes,True,1,0,7.8792
0,3,male,28.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,0,7.8958
0,1,male,40.0,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,1,0,27.7208
1,1,female,28.0,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,2,0,73.2604
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,1,0,7.75
0,2,male,66.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,1,0,10.5
0,1,male,28.0,1,0,82.1708,C,First,man,True,C,Cherbourg,no,False,2,0,41.0854
0,1,male,42.0,1,0,52.0,S,First,man,True,C,Southampton,no,False,2,0,26.0
1,3,male,28.0,0,0,7.2292,C,Third,man,True,C,Cherbourg,yes,True,1,0,7.2292
0,3,male,21.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,0,8.05
0,3,female,18.0,2,0,18.0,S,Third,woman,False,C,Southampton,no,False,3,0,6.0
1,3,female,14.0,1,0,11.2417,C,Third,child,False,C,Cherbourg,yes,False,2,1,5.62085
0,3,female,40.0,1,0,9.475,S,Third,woman,False,C,Southampton,no,False,2,0,4.7375
0,2,female,27.0,1,0,21.0,S,Second,woman,False,C,Southampton,no,False,2,0,10.5
0,3,male,28.0,0,0,7.8958,C,Third,man,True,C,Cherbourg,no,True,1,0,7.8958
1,2,female,3.0,1,2,41.5792,C,Second,child,False,C,Cherbourg,yes,False,4,1,10.3948
1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,C,Queenstown,yes,True,1,0,7.8792
0,3,male,28.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,0,8.05
0,3,male,28.0,1,0,15.5,Q,Third,man,True,C,Queenstown,no,False,2,0,7.75
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,1,0,7.75
0,3,male,28.0,2,0,21.6792,C,Third,man,True,C,Cherbourg,no,False,3,0,7.226400000000001
0,3,female,18.0,1,0,17.8,S,Third,woman,False,C,Southampton,no,False,2,0,8.9
0,3,male,7.0,4,1,39.6875,S,Third,child,False,C,Southampton,no,False,6,1,6.614583333333333
0,3,male,21.0,0,0,7.8,S,Third,man,True,C,Southampton,no,True,1,0,7.8
1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,2,0,38.3646
1,2,female,29.0,1,0,26.0,S,Second,woman,False,C,Southampton,yes,False,2,0,13.0
0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,2,0,30.9896
1,1,male,28.0,0,0,35.5,S,First,man,True,C,Southampton,yes,True,1,0,35.5
1,2,female,21.0,0,0,10.5,S,Second,woman,False,C,Southampton,yes,True,1,0,10.5
0,3,male,28.5,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True,1,0,7.2292
1,2,female,5.0,1,2,27.75,S,Second,child,False,C,Southampton,yes,False,4,1,6.9375
0,3,male,11.0,5,2,46.9,S,Third,child,False,C,Southampton,no,False,8,1,5.8625
0,3,male,22.0,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True,1,0,7.2292
1,1,female,38.0,0,0,80.0,S,First,woman,False,B,Southampton,yes,True,1,0,80.0
0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,2,0,41.7375
0,3,male,4.0,3,2,27.9,S,Third,child,False,C,Southampton,no,False,6,1,4.6499999999999995
0,1,male,28.0,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,1,0,27.7208
1,3,male,28.0,1,1,15.2458,C,Third,man,True,C,Cherbourg,yes,False,3,0,5.081933333333333
1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,1,0,10.5
0,3,male,19.0,0,0,8.1583,S,Third,man,True,C,Southampton,no,True,1,0,8.1583
1,3,female,17.0,4,2,7.925,S,Third,woman,False,C,Southampton,yes,False,7,1,1.1321428571428571
0,3,male,26.0,2,0,8.6625,S,Third,man,True,C,Southampton,no,False,3,0,2.8874999999999997
0,2,male,32.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,1,0,10.5
0,3,female,16.0,5,2,46.9,S,Third,woman,False,C,Southampton,no,False,8,1,5.8625
0,2,male,21.0,0,0,73.5,S,Second,man,True,C,Southampton,no,True,1,0,73.5
0,3,male,26.0,1,0,14.4542,C,Third,man,True,C,Cherbourg,no,False,2,0,7.2271
1,3,male,32.0,0,0,56.4958,S,Third,man,True,C,Southampton,yes,True,1,0,56.4958
0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,1,0,7.65
0,3,male,28.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,0,7.8958
0,3,male,28.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,0,8.05
1,2,male,0.83,0,2,29.0,S,Second,child,False,C,Southampton,yes,False,3,1,9.666666666666666
1,3,female,30.0,0,0,12.475,S,Third,woman,False,C,Southampton,yes,True,1,0,12.475
0,3,male,22.0,0,0,9.0,S,Third,man,True,C,Southampton,no,True,1,0,9.0
1,3,male,29.0,0,0,9.5,S,Third,man,True,C,Southampton,yes,True,1,0,9.5
1,3,female,28.0,0,0,7.7875,Q,Third,woman,False,C,Queenstown,yes,True,1,0,7.7875
0,1,male,28.0,0,0,47.1,S,First,man,True,C,Southampton,no,True,1,0,47.1
1,2,female,17.0,0,0,10.5,S,Second,woman,False,C,Southampton,yes,True,1,1,10.5
1,3,female,33.0,3,0,15.85,S,Third,woman,False,C,Southampton,yes,False,4,0,3.9625
0,3,male,16.0,1,3,34.375,S,Third,man,True,C,Southampton,no,False,5,1,6.875
0,3,male,28.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,0,8.05
1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,6,0,43.833333333333336
0,3,male,24.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,0,8.05
0,3,male,29.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,0,8.05
0,3,male,20.0,0,0,7.8542,S,Third,man,True,C,Southampton,no,True,1,0,7.8542
0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,2,0,30.5875
0,3,male,26.0,1,2,20.575,S,Third,man,True,C,Southampton,no,False,4,0,5.14375
0,3,male,59.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True,1,0,7.25
0,3,male,28.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,0,8.05
0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,1,0,34.6542
1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,2,0,31.67915
1,2,female,34.0,0,1,23.0,S,Second,woman,False,C,Southampton,yes,False,2,0,11.5
0,2,male,34.0,1,0,26.0,S,Second,man,True,C,Southampton,no,False,2,0,13.0
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,C,Southampton,no,True,1,0,7.8958
0,3,male,28.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,0,7.8958
0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,2,0,38.64375
0,3,male,33.0,0,0,8.6542,S,Third,man,True,C,Southampton,no,True,1,0,8.6542
0,3,male,37.0,2,0,7.925,S,Third,man,True,C,Southampton,no,False,3,0,2.6416666666666666
0,3,male,28.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,0,7.8958
1,3,female,21.0,0,0,7.65,S,Third,woman,False,C,Southampton,yes,True,1,0,7.65
1,3,male,28.0,0,0,7.775,S,Third,man,True,C,Southampton,yes,True,1,0,7.775
0,3,male,38.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,0,7.8958
1,3,female,28.0,1,0,24.15,Q,Third,woman,False,C,Queenstown,yes,False,2,0,12.075
0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,1,0,52.0
0,3,female,14.5,1,0,14.4542,C,Third,child,False,C,Cherbourg,no,False,2,1,7.2271
0,3,male,22.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,0,8.05
0,3,female,20.0,1,0,9.825,S,Third,woman,False,C,Southampton,no,False,2,0,4.9125
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,C,Cherbourg,no,True,1,1,14.4583
0,3,male,21.0,0,0,7.925,S,Third,man,True,C,Southampton,no,True,1,0,7.925
0,3,male,70.5,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,1,0,7.75
0,2,male,29.0,1,0,21.0,S,Second,man,True,C,Southampton,no,False,2,0,10.5
0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,2,0,123.7604
0,3,female,2.0,4,2,31.275,S,Third,child,False,C,Southampton,no,False,7,1,4.4678571428571425
0,2,male,21.0,2,0,73.5,S,Second,man,True,C,Southampton,no,False,3,0,24.5
0,3,male,28.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,0,8.05
0,2,male,32.5,1,0,30.0708,C,Second,man,True,C,Cherbourg,no,False,2,0,15.0354
1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,1,0,13.0
0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,2,0,38.64375
1,3,male,12.0,1,0,11.2417,C,Third,child,False,C,Cherbourg,yes,False,2,1,5.62085
0,3,male,28.0,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,1,0,7.75
1,3,male,24.0,0,0,7.1417,S,Third,man,True,C,Southampton,yes,True,1,0,7.1417
1,3,female,28.0,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,3,0,7.452766666666666
0,3,male,45.0,0,0,6.975,S,Third,man,True,C,Southampton,no,True,1,0,6.975
0,3,male,33.0,0,0,7.8958,C,Third,man,True,C,Cherbourg,no,True,1,0,7.8958
0,3,male,20.0,0,0,7.05,S,Third,man,True,C,Southampton,no,True,1,0,7.05
0,3,female,47.0,1,0,14.5,S,Third,woman,False,C,Southampton,no,False,2,0,7.25
1,2,female,29.0,1,0,26.0,S,Second,woman,False,C,Southampton,yes,False,2,0,13.0
0,2,male,25.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,1,0,13.0
0,2,male,23.0,0,0,15.0458,C,Second,man,True,C,Cherbourg,no,True,1,0,15.0458
1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,3,0,8.7611
0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,2,0,26.55
0,3,male,16.0,0,0,9.2167,S,Third,man,True,C,Southampton,no,True,1,1,9.2167
0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,1,0,79.2
0,3,female,28.0,0,2,15.2458,C,Third,woman,False,C,Cherbourg,no,False,3,0,5.081933333333333
1,3,female,22.0,0,0,7.75,S,Third,woman,False,C,Southampton,yes,True,1,0,7.75
1,3,female,24.0,1,0,15.85,S,Third,woman,False,C,Southampton,yes,False,2,0,7.925
0,3,male,19.0,0,0,6.75,Q,Third,man,True,C,Queenstown,no,True,1,0,6.75
0,2,male,18.0,0,0,11.5,S,Second,man,True,C,Southampton,no,True,1,0,11.5
0,2,male,19.0,1,1,36.75,S,Second,man,True,C,Southampton,no,False,3,0,12.25
1,3,male,27.0,0,0,7.7958,S,Third,man,True,C,Southampton,yes,True,1,0,7.7958
0,3,female,9.0,2,2,34.375,S,Third,child,False,C,Southampton,no,False,5,1,6.875
